Time, Latitude (deg), Longitude (deg), Vehicle speed (km/h), Engine coolant temperature, Intake manifold absolute pressure (kPa), Engine RPM (RPM), Intake air temperature (°C), Relative throttle position (%), Mass air flow sensor A (g/s), Mass air flow rate (g/s), Boost (kPa), Acceleration (m/s²), Acceleration (Avg) (m/s²), Engine Power (PS), Engine Torque (N•m), GPS Speed (km/h), Calculated load value (%), Engine oil temperature (°C), Fuel injection timing (deg), Instant fuel economy (l/100 km), Total fuel economy (l/100 km), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Accel (Grav) X (m/s²), Accel (Grav) Y (m/s²), Accel (Grav) Z (m/s²), Time since engine start (sec), Fuel rail pressure (kPa), Absolute throttle position B (%), Absolute throttle position C (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Accelerator pedal position F (%), Boost pressure sensor A (kPa), Altitude (m)
12/27/2023 05:27:23.7328 μ.μ.,40.5308,23.0421,0,83,100,1061.5,31,75.29412,0,11.70373,-1,-1.11E-16,-1.11E-16,13.46266,91.5648,0.9290907,76.86275,0,0,0,60.70002,0.01403368,0.04672896,0.4155416,0.04415817,7.239246,-7.12174,4893,53440,0,0,34.90196,30.58824,0,0,52.16397
12/27/2023 05:27:24.5620 μ.μ.,40.5308,23.04209,0,83,100,1127.5,31,68.62745,0,13.17446,-1,-1.11E-16,-1.11E-16,12.46455,79.81372,2.559079,90.98039,0,0,0,60.92186,0.2222793,0.1272074,0.04544262,-0.3037184,6.739585,-7.289392,4893,72010,0,0,39.21569,34.11765,0,0,52.38097
12/27/2023 05:27:25.3724 μ.μ.,40.53079,23.04207,4,83,104,1249,31,46.66667,0,14.55334,3,0.7074086,0.1414817,18.25123,105.4988,5.170155,99.60784,0,0,127.7187,61.04388,-0.1181778,0.011403,-0.7588368,-0.3463797,6.816675,-6.563102,4893,66140,0,0,44.31372,39.21569,0,0,52.7624
12/27/2023 05:27:26.1295 μ.μ.,40.53079,23.04207,9,83,119,1579.5,31,36.47059,0,18.44685,18,1.444837,0.2889675,36.50247,166.8477,5.170155,99.60784,0,0,113.5278,61.3209,0.2785831,-0.09771897,0.4327711,-1.120869,6.862031,-7.910151,4893,95470,0,0,52.94118,47.84314,0,0,52.7624
12/27/2023 05:27:26.9674 μ.μ.,40.53079,23.04204,12,83,141,2021.5,31,5.098039,0,27.64086,40,1.324497,0.406381,50.46419,180.23,8.382664,88.62745,0,0,117.713,61.62922,-0.6037549,0.1116564,0.2385361,0.276026,6.343658,-8.021968,4893,135790,0,0,64.31373,58.03922,0,0,52.55561
12/27/2023 05:27:27.7726 μ.μ.,40.5308,23.04199,18,83,190,2946,31,4.705883,0,47.66945,89,1.704244,0.6298162,111.159,272.4142,11.07666,97.64706,0,0,172.86,62.55878,-0.2923193,0.2615348,1.306594,0.3068619,6.710396,-8.480615,4893,161210,0,0,68.62745,57.64706,0,0,53.92496
12/27/2023 05:27:28.6000 μ.μ.,40.53085,23.04193,26,83,216,3999.5,29,4.705883,0,78.97675,115,2.443927,0.8951663,145.2494,262.1961,16.73932,15.29412,0,0,156.3736,63.81132,1.606448,0.04842585,-0.5212096,-1.259032,6.701714,-6.864725,4893,54660,0,0,51.37255,50.98039,0,0,53.37905
12/27/2023 05:27:29.3620 μ.μ.,40.53092,23.04183,30,83,150,2527,29,4.705883,0,74.95057,49,1.939508,1.017718,97.10227,277.4225,25.2774,78.03922,0,0,90.60047,64.25184,-0.2488099,0.283232,0.4769863,0.7616162,6.191724,-8.152496,4893,151680,0,0,75.68627,66.66666,0,0,54.14634
12/27/2023 05:27:30.1015 μ.μ.,40.53092,23.04183,34,83,203,2962.5,29,4.705883,0,64.08838,102,1.378563,1.170879,119.4054,290.9934,25.2774,96.86275,0,0,98.30312,64.79546,-0.07836051,-0.7299933,0.1554181,0.7571256,7.193292,-7.914941,4893,159250,0,0,73.72549,65.09804,0,0,54.14634
12/27/2023 05:27:31.0644 μ.μ.,40.53099,23.04175,39,83,223,3485.5,29,4.705883,0,82.53558,122,1.677187,1.353155,141.257,292.5919,31.99072,99.60784,0,0,101.3836,65.37717,0.5360326,-1.485257,-1.497132,0.2227368,8.375084,-5.564379,4893,159980,0,0,73.72549,65.4902,0,0,54.78251
12/27/2023 05:27:31.9718 μ.μ.,40.53109,23.04165,45,83,212,3939,28,4.705883,0,92.31641,111,2.039986,1.578876,141.4946,259.3412,40.49343,61.56863,0,0,88.01357,65.86337,0.8709615,-0.8600614,0.5404465,-0.2290237,7.97796,-7.453301,4901,95960,0,0,22.7451,20,0,0,55.86728
12/27/2023 05:27:32.7328 μ.μ.,40.53119,23.04154,47,83,126,3597.5,28,4.705883,0,62.21201,25,1.386578,1.630471,72.14941,144.7937,45.40763,99.60784,0,0,42.9692,65.18327,0.6940172,1.736071,0.2935884,-0.3300636,5.067862,-7.455397,4901,135550,0,0,69.80392,62.35294,0,0,55.18085
12/27/2023 05:27:33.4856 μ.μ.,40.53128,23.04142,50,83,188,2573,28,4.705883,0,84.77667,87,0.7732139,1.592037,102.378,287.2662,49.94458,97.25491,0,0,57.31378,65.02149,-0.08869335,0.1125299,0.2455507,0.488584,6.520291,-7.680528,4901,146540,0,0,70.98039,62.35294,0,0,55.75199
12/27/2023 05:27:34.3023 μ.μ.,40.53139,23.0413,54,83,215,2745.5,28,4.705883,0,69.34193,114,1.259412,1.593386,112.3829,295.5265,54.59097,98.82353,0,0,58.25442,64.87385,-0.1989422,-0.1781074,-0.0343878,0.7047345,6.704109,-7.4295,4901,154610,0,0,70.58823,61.96078,0,0,55.94302
12/27/2023 05:27:35.1293 μ.μ.,40.53139,23.0413,58,83,237,2963,27,4.705883,0,81.56194,136,1.481114,1.623361,133.0463,324.1818,54.59097,99.21568,0,0,64.20917,64.86145,0.1692851,-0.4602666,0.1115121,0.4996609,6.966363,-7.583979,4901,161690,0,0,70.58823,61.96078,0,0,55.94302
12/27/2023 05:27:35.8918 μ.μ.,40.53151,23.04116,62,83,237,3171,27,4.705883,0,88.31657,136,1.344244,1.521386,138.3577,315.0102,59.12881,95.68627,0,0,62.46458,64.7902,-0.2506029,-0.1875783,-0.05039736,0.8819659,6.811436,-7.325916,4901,158030,0,0,69.80392,61.17647,0,0,56.87727
12/27/2023 05:27:36.6302 μ.μ.,40.53163,23.04101,66,83,232,3353.5,27,4.705883,0,92.52231,131,1.367243,1.408024,139.5815,300.502,63.10938,86.27451,0,0,59.19791,64.6554,0.5575181,-0.09711339,-0.8922964,0.31255,6.987619,-6.229596,4901,158760,0,0,63.13726,55.29412,0,0,57.362
12/27/2023 05:27:37.4555 μ.μ.,40.53176,23.04085,69,83,212,3482.5,27,15.29412,0,89.41212,111,1.305676,1.394619,118.5855,245.8431,66.74523,81.17647,0,0,48.10662,64.24377,-0.6805715,0.6086753,-0.6941952,1.626069,6.769223,-5.780529,4901,152900,0,0,53.72549,44.31372,0,0,58.07397
12/27/2023 05:27:38.2835 μ.μ.,40.5319,23.0407,70,83,159,3492,27,39.60784,0,69.63867,58,0.7346507,1.279242,82.21373,169.976,67.86962,2.352941,0,0,32.87522,63.48002,0.1342809,-0.2135626,-0.157367,0.6451584,7.889045,-6.005511,4901,49040,0,0,33.33333,28.62745,0,0,57.28292
12/27/2023 05:27:39.1113 μ.μ.,40.5319,23.0407,68,83,111,3399.5,27,4.705883,0,48.7483,10,-0.1072629,1.037729,64.22391,136.3953,67.86962,0,0,0,26.43688,62.40312,-0.4513516,-0.4783624,-0.04411296,1.328936,8.243957,-6.026168,4901,54910,0,0,31.76471,27.84314,0,0,57.28292
12/27/2023 05:27:39.9359 μ.μ.,40.53203,23.04055,66,83,106,3283.5,27,4.705883,0,45.31929,5,-0.6824768,0.734749,61.6811,135.6228,67.18061,0,0,0,26.15956,61.63426,-0.2684673,0.5211263,-0.5326694,1.091231,7.335646,-5.494025,4909,54420,0,0,31.37255,27.45098,0,0,57.00014
12/27/2023 05:27:40.7428 μ.μ.,40.53215,23.04041,63,83,105,3172,27,4.705883,0,43.35993,4,-0.8369116,0.5930314,59.89875,136.3334,65.29662,0,0,0,26.61335,60.75299,-0.2019324,-0.1213695,-0.4019985,1.043929,7.946375,-5.500761,4909,53930,0,0,22.7451,19.60784,0,0,56.69727
12/27/2023 05:27:41.5709 μ.μ.,40.53226,23.04027,62,83,105,3063.5,27,5.098039,0,41.88753,4,-0.6422983,0.4516465,59.97004,141.3299,63.00326,0,0,0,27.07478,60.10016,-0.1905082,-0.2669277,0.6830159,0.9822574,8.105345,-6.617439,4909,53680,0,0,22.7451,20,0,0,56.6757
12/27/2023 05:27:42.3355 μ.μ.,40.53237,23.04014,59,83,106,2964.5,27,4.705883,0,40.84002,5,-0.6506796,0.2110131,58.41346,142.2588,60.44865,0,0,0,27.71298,59.3758,-0.16525,-0.01061869,-0.002739086,1.0098,7.870184,-5.879623,4909,52460,0,0,22.7451,20,0,0,56.42516
12/27/2023 05:27:43.0630 μ.μ.,40.53237,23.04014,57,83,106,2857.5,27,5.098039,0,39.52024,5,-0.8352486,-0.011626,56.40535,142.5121,60.44865,0,0,0,27.69923,58.82884,0.05640852,-1.166078,-0.09492459,0.7698491,9.122779,-5.70314,4909,51480,0,0,22.7451,20,0,0,56.42516
12/27/2023 05:27:43.8921 μ.μ.,40.53247,23.04002,55,83,106,2728,27,4.705883,0,38.0938,5,-0.7450067,-0.206837,54.81312,145.0634,57.70647,0,0,0,27.89614,58.31161,0.01019223,0.08080114,-0.2317964,0.7680528,7.88171,-5.57815,4909,49770,0,0,22.7451,20,0,0,56.35116
12/27/2023 05:27:44.8016 μ.μ.,40.53257,23.0399,53,83,106,2596,27,4.705883,0,36.36742,5,-0.7391726,-0.4329091,54.19524,150.7211,54.50833,0,0,0,28.6225,57.84291,0.04281764,-0.1829946,-0.481106,0.6767427,8.052505,-5.223089,4909,47820,0,0,22.7451,19.60784,0,0,56.41721
12/27/2023 05:27:45.5615 μ.μ.,40.53266,23.03979,49,83,107,2439,27,4.705883,0,34.93419,6,-0.9399788,-0.655968,51.84254,153.4589,51.10473,0,0,0,29.61505,57.31731,0.05398811,-0.6075217,0.1280002,0.6436615,8.726104,-5.710924,4909,45620,0,0,22.7451,20,0,0,56.51395
12/27/2023 05:27:46.3012 μ.μ.,40.53275,23.03969,46,83,107,2316,27,4.705883,0,32.82145,6,-1.13273,-0.8063852,49.59678,154.6082,47.08493,0,0,0,30.17991,56.96859,0.1137516,0.08813009,-0.1486733,0.4849915,7.994575,-5.493426,4909,42930,0,0,22.7451,20,0,0,56.28727
12/27/2023 05:27:47.2914 μ.μ.,40.53283,23.0396,43,83,107,2128.5,27,4.705883,0,31.16625,6,-1.111988,-0.8569129,46.36479,157.2651,43.70686,0,0,0,30.18159,56.63046,0.4165133,-0.5694894,0.26099,-0.103884,8.600965,-5.940846,4909,41220,0,0,22.7451,20,0,0,56.93458
12/27/2023 05:27:48.1011 μ.μ.,40.53283,23.0396,40,84,107,1988.5,27,4.705883,0,28.64308,6,-1.112095,-0.8923089,43.46551,157.8108,43.70686,0,0,0,30.41635,56.34901,0.0909726,-0.2878703,-0.03321323,0.04610413,8.465796,-5.612578,4917,39020,0,0,22.7451,20,0,0,56.93458
12/27/2023 05:27:48.8611 μ.μ.,40.5329,23.03952,36,84,105,1803.5,27,69.01961,0,26.25894,4,-1.072436,-0.9040178,31.38119,125.6235,40.11788,0,0,0,24.39997,55.87722,0.3741668,0.6658955,0.2323573,-0.4270619,7.492819,-5.813311,4917,37300,0,0,22.7451,19.60784,0,0,56.54261
12/27/2023 05:27:49.6259 μ.μ.,40.53296,23.03946,34,84,101,1654,27,71.76471,0,22.90866,0,-0.9003369,-0.9439166,22.26746,97.19697,36.05579,0,0,0,18.33218,55.5481,0.01637274,-0.6002027,0.5335041,-0.3098556,8.89136,-6.112539,4917,36080,0,0,22.7451,20,0,0,56.79748
12/27/2023 05:27:50.4298 μ.μ.,40.53304,23.03941,30,84,101,1195,27,75.68627,0,21.00966,0,-1.122295,-0.998341,17.41947,105.2409,32.77134,6.27451,0,0,16.2531,55.21949,0.6527345,0.2224406,-0.1903893,-1.357527,8.142467,-5.433551,4917,33150,0,0,22.7451,19.60784,0,0,56.29024
12/27/2023 05:27:52.3814 μ.μ.,40.53314,23.0394,27,84,102,851.5,28,74.5098,0,15.32958,1,-1.275807,-1.032028,11.44267,97.01978,21.22358,30.58824,0,0,11.86276,54.89593,-0.9514903,0.5188807,-0.01844002,1.200803,7.659422,-5.646408,4917,37060,0,0,22.7451,20,0,0,56.75587
12/27/2023 05:27:53.1238 μ.μ.,40.53314,23.0394,23,84,101,805.5,28,77.64706,0,10.78012,0,-1.151519,-1.079643,9.60091,86.05269,21.22358,33.33333,0,0,11.68441,54.57021,-1.183128,-0.07006434,-0.302962,2.328258,8.041428,-5.44852,4917,35840,0,0,22.7451,19.60784,0,0,56.75587
12/27/2023 05:27:54.9374 μ.μ.,40.53323,23.03943,15,84,99,920,28,81.17647,0,9.995821,-2,-1.209145,-1.126023,9.066206,71.14679,19.09862,40,0,0,16.9183,54.20039,0.209986,0.03068054,0.07389435,1.434617,8.106393,-5.457501,4917,35600,0,0,22.7451,20,0,0,57.30393
12/27/2023 05:27:55.7654 μ.μ.,40.53325,23.03942,13,84,99,884.5,28,81.96078,0,11.4167,-2,-0.9098082,-1.073609,8.305737,67.79504,14.63842,40.78431,0,0,17.88369,54.05981,0.3731855,-0.06283072,0.07315011,1.265019,8.171357,-5.494175,4917,34370,0,0,22.7451,20,0,0,57.77374
12/27/2023 05:27:58.0520 μ.μ.,40.53323,23.03936,10,84,98,878.5,29,81.96078,0,10.8653,-3,-0.5602891,-1.011535,8.044327,66.10975,5.45789,44.31372,0,0,22.51708,53.86739,0.3375702,-0.1863407,0.1880048,1.162034,7.849227,-6.219866,4917,35350,0,0,22.7451,20,0,0,56.99237
12/27/2023 05:27:58.9006 μ.μ.,40.53321,23.03933,10,84,98,899,29,81.96078,0,10.75588,-3,-0.2527949,-0.9017708,8.210679,65.93819,6.051454,4.313725,0,0,22.98272,53.76666,0.6095788,-0.1538965,-0.296288,0.6544391,8.041877,-5.493576,4917,34370,0,0,22.7451,20,0,0,57.40266
12/27/2023 05:27:59.7365 μ.μ.,40.53319,23.0393,11,84,99,779.5,29,81.17647,0,11.11918,-2,0.06391817,-0.776332,8.044327,74.50599,6.892662,36.47059,0,0,20.47007,53.491,0.05581769,-0.08797639,0.05817395,1.062491,8.124804,-5.702991,4929,34860,0,0,22.7451,19.60784,0,0,57.20271
12/27/2023 05:28:00.5623 μ.μ.,40.53316,23.03927,9,84,98,788,29,83.13725,0,9.543775,-3,-0.2286475,-0.733013,7.616563,69.78313,7.118453,36.47059,0,0,23.68857,53.40125,0.1276331,-0.0850553,0.1333942,0.9068143,8.109536,-5.786517,4929,35350,0,0,22.7451,19.60784,0,0,57.13138
12/27/2023 05:28:01.3704 μ.μ.,40.53315,23.03926,6,84,98,794.5,29,83.13725,0,9.647844,-3,-0.8587648,-0.7680175,7.414564,67.37663,5.710069,39.60784,0,0,34.59049,53.37219,0.09232893,0.04196089,-0.08937301,0.8907976,7.917635,-5.630541,4929,34860,0,0,22.7451,20,0,0,56.63698
12/27/2023 05:28:02.1336 μ.μ.,40.53315,23.03926,4,84,98,795,29,83.52941,0,9.727427,-3,-0.8666759,-0.6818891,7.260094,65.93146,5.710069,40,0,0,50.80478,53.3693,0.05752208,0.2252682,0.1987825,0.8500822,7.677834,-6.001021,4929,35600,0,0,22.7451,19.60784,0,0,56.63698
12/27/2023 05:28:02.8944 μ.μ.,40.53314,23.03924,3,84,98,796,29,83.52941,0,9.733548,-3,-0.490153,-0.6108868,7.319506,66.38749,5.073336,41.17647,0,0,68.29404,53.3807,-0.01505523,0.2229196,0.2615194,0.8768765,7.570357,-6.204448,4929,34860,0,0,22.7451,20,0,0,56.68858
12/27/2023 05:28:03.7087 μ.μ.,40.53313,23.03924,0,84,98,796.5,29,83.13725,0,9.745791,-3,-0.7514943,-0.6018841,7.3908,66.99204,3.384053,41.17647,0,0,0,53.43357,0.01926238,0.1338377,0.01851622,0.8250842,7.544761,-6.089636,4929,35110,0,0,22.7451,19.60784,0,0,56.67033
12/27/2023 05:28:04.5295 μ.μ.,40.53313,23.03924,0,84,98,796.5,29,83.13725,0,9.751913,-3,-0.561818,-0.4814214,7.283859,66.02271,2.808411,41.56863,0,0,0,53.48712,-0.08431781,-0.03113813,-0.01680328,0.9222322,7.701934,-6.085745,4929,35600,0,0,22.7451,20,0,0,56.96642
12/27/2023 05:28:05.3521 μ.μ.,40.53312,23.03924,0,84,98,799.5,29,83.13725,0,9.751913,-3,-3.33E-16,-0.4199225,7.1888,64.91656,1.895823,41.17647,0,0,0,53.55127,-0.1150054,0.138008,-0.08778365,0.9566606,7.546707,-6.028114,4929,35840,0,0,22.7451,20,0,0,56.74545
12/27/2023 05:28:06.1014 μ.μ.,40.53312,23.03924,0,84,98,799.5,29,82.74509,0,9.788644,-3,-3.33E-16,-0.3693635,7.319506,66.09686,1.895823,41.17647,0,0,0,53.60147,0.1539099,-0.04101699,0.1834364,0.5617818,7.625293,-6.418054,4929,35110,0,0,22.7451,19.60784,0,0,56.74545
12/27/2023 05:28:07.0722 μ.μ.,40.53312,23.03925,0,84,98,799,29,82.74509,0,9.788644,-3,-3.33E-16,-0.3693635,7.355153,66.46033,1.365625,41.17647,0,0,0,53.66049,0.1189174,0.04585827,0.026783,0.5090913,7.431895,-6.38632,4929,35350,0,0,22.7451,19.60784,0,0,56.52856
12/27/2023 05:28:07.9017 μ.μ.,40.53312,23.03925,0,82,98,801.5,29,82.74509,0,9.782522,-3,-3.33E-16,-0.3821472,7.319506,65.93193,0.2397676,40.39216,0,0,0,53.71591,-0.1009497,0.04500878,0.02400307,0.7226971,7.396269,-6.42,4937,34860,0,0,22.7451,19.60784,0,0,56.381
12/27/2023 05:28:08.6870 μ.μ.,40.53313,23.03925,0,82,98,799.5,29,82.74509,0,9.81313,-3,-3.33E-16,-0.323634,7.153153,64.59467,0.2206708,40.39216,0,0,0,53.78785,-0.01405559,0.05672942,0.02701895,0.6331833,7.384893,-6.416108,4937,35350,0,0,22.7451,20,0,0,56.60464
12/27/2023 05:28:09.4064 μ.μ.,40.53313,23.03925,0,82,98,803,29,83.13725,0,9.788644,-3,-3.33E-16,-0.2103942,7.283859,65.48827,0,40,0,0,0,53.83889,0.01920268,0.04116455,0.06095751,0.606389,7.389084,-6.458769,4937,35110,0,0,22.7451,19.60784,0,0,56.62897
12/27/2023 05:28:10.2283 μ.μ.,40.53313,23.03925,0,82,98,802.5,29,83.13725,0,9.831496,-3,-3.33E-16,-0.1502988,7.283859,65.52908,0,40.39216,0,0,0,53.89344,-0.06166599,-0.01956043,0.06509083,0.6902147,7.443421,-6.470594,4937,35350,0,0,22.7451,19.60784,0,0,56.62897
12/27/2023 05:28:11.0649 μ.μ.,40.53313,23.03925,0,82,98,802.5,29,83.13725,0,9.825375,-3,-3.33E-16,-0.1123636,7.260094,65.31528,0,40.39216,0,0,0,53.94463,0.02863453,0.01700676,-0.03994722,0.6030958,7.406748,-6.367159,4937,34620,0,0,22.7451,19.60784,0,0,56.62897
12/27/2023 05:28:11.8011 μ.μ.,40.53313,23.03925,0,82,98,800.5,29,83.13725,0,9.825375,-3,-3.33E-16,2.22E-17,7.283859,65.69279,0,40.39216,0,0,0,54.0082,0.01990833,0.00891592,-0.02681927,0.6168672,7.414531,-6.389762,4937,35840,0,0,22.7451,20,0,0,56.62897
12/27/2023 05:28:12.5602 μ.μ.,40.53313,23.03925,0,82,98,799.5,29,83.13725,0,9.800887,-3,-3.33E-16,2.22E-17,7.355153,66.41876,0,40,0,0,0,54.06064,-0.02247848,0.02013652,0.04076938,0.6649173,7.404802,-6.465954,4937,35350,0,0,22.7451,19.60784,0,0,56.62897
12/27/2023 05:28:13.3867 μ.μ.,40.53313,23.03925,0,82,98,800,29,83.13725,0,9.788644,-3,-3.33E-16,2.22E-17,7.319506,66.05556,0,39.60784,0,0,0,54.11453,0.01521572,-0.04434658,-0.04289573,0.6298901,7.469317,-6.388116,4937,35110,0,0,22.7451,20,0,0,56.62897
12/27/2023 05:28:14.2797 μ.μ.,40.53313,23.03925,0,82,98,798,30,83.13725,0,9.794765,-3,-3.33E-16,2.22E-17,7.355153,66.54361,0,40,0,0,0,54.16692,0.08263548,0.04818787,-0.07946491,0.5575905,7.369176,-6.350544,4937,35840,0,0,22.7451,19.60784,0,0,56.62897
12/27/2023 05:28:15.0980 μ.μ.,40.53313,23.03925,0,82,98,801.5,30,83.13725,0,9.73805,-3,-3.33E-16,2.22E-17,7.355153,66.25303,0,40.39216,0,0,0,54.23359,0.01427382,0.03233635,-0.03237221,0.6282436,7.382947,-6.403384,4937,36080,0,0,22.7451,19.60784,0,0,56.62897
12/27/2023 05:28:15.9318 μ.μ.,40.53313,23.03925,0,82,98,800.5,30,83.13725,0,9.78076,-3,-3.33E-16,2.22E-17,7.224447,65.15697,0,40.39216,0,0,0,54.28887,-0.03068251,-0.2447204,-0.008745223,0.680934,7.68936,-6.418203,4945,35350,0,0,22.7451,20,0,0,56.62897
12/27/2023 05:28:16.7566 μ.μ.,40.53313,23.03925,0,82,98,800.5,30,83.13725,0,9.768558,-3,-3.33E-16,2.22E-17,7.260094,65.47846,0,40,0,0,0,54.35344,-0.2200999,-0.5850192,-1.116796,1.237477,8.153395,-5.095554,4945,35840,0,0,22.7451,20,0,0,56.62897
12/27/2023 05:28:17.5720 μ.μ.,40.53313,23.03924,0,82,98,799.5,30,83.13725,0,9.768558,-3,-3.33E-16,2.22E-17,7.224447,65.23846,0.02693561,39.60784,0,0,0,54.40356,1.302723,-1.970795,-2.896702,-0.1279839,9.943672,-1.286126,4945,35350,0,0,22.7451,19.60784,0,0,56.46563
12/27/2023 05:28:18.3323 μ.μ.,40.53313,23.03924,0,82,98,801.5,30,82.74509,0,9.756354,-3,-3.33E-16,2.22E-17,7.319506,65.93193,1.22372,40,0,0,0,54.46923,-0.5130182,4.324537,2.556806,1.072969,1.483415,-9.576336,4945,35840,0,0,22.7451,19.60784,0,0,56.56032
12/27/2023 05:28:19.0716 μ.μ.,40.53313,23.03924,0,82,98,801,30,83.13725,0,9.78076,-3,-3.33E-16,2.22E-17,7.355153,66.29439,1.22372,39.60784,0,0,0,54.52149,-0.01160123,3.162287,1.137769,0.8060738,-0.006586304,-9.701177,4945,35840,0,0,22.7451,20,0,0,56.56032
12/27/2023 05:28:19.9107 μ.μ.,40.53313,23.03924,0,82,98,801.5,30,83.13725,0,9.774658,-3,-3.33E-16,2.22E-17,7.283859,65.61083,0.3007685,40.39216,0,0,0,54.57318,-0.01809846,1.425823,0.4611789,0.8882529,-0.1718426,-9.69444,4945,35110,0,0,22.7451,20,0,0,56.4952
12/27/2023 05:28:20.8076 μ.μ.,40.53313,23.03924,0,82,98,799,30,83.13725,0,9.78076,-3,-3.33E-16,2.22E-17,7.3908,66.78243,0.7676752,40.39216,0,0,0,54.62757,-0.9981735,1.842003,0.549827,2.281855,-2.195784,-9.929003,4945,35350,0,0,22.7451,20,0,0,56.51533
12/27/2023 05:28:21.5591 μ.μ.,40.53314,23.03925,0,82,98,800.5,30,83.13725,0,9.750253,-3,-3.33E-16,2.22E-17,7.283859,65.69279,0,39.60784,0,0,0,54.69543,0.5228779,0.3683731,0.2625,0.5559439,-1.399739,-9.789193,4945,35110,0,0,22.7451,20,0,0,56.46214
12/27/2023 05:28:22.3013 μ.μ.,40.53314,23.03925,0,82,98,799.5,30,83.13725,0,9.768558,-3,-3.33E-16,2.22E-17,7.224447,65.23846,0,40,0,0,0,54.74899,0.2951323,0.2152644,-0.1415442,0.4938231,-1.379831,-9.5214,4945,35350,0,0,22.7451,19.60784,0,0,56.46214
12/27/2023 05:28:23.2929 μ.μ.,40.53314,23.03924,0,82,98,800,30,83.13725,0,9.756354,-3,-3.33E-16,2.22E-17,7.260094,65.51939,0.7443793,40,0,0,0,54.80132,0.09319087,0.2306556,-0.08477069,0.6403683,-1.666634,-9.580677,4945,34370,0,0,22.7451,19.60784,0,0,56.07528
12/27/2023 05:28:24.0940 μ.μ.,40.53314,23.03924,0,82,98,801,30,82.35294,0,9.762456,-3,-3.33E-16,2.22E-17,7.260094,65.43759,0.7717668,40.39216,0,0,0,54.85347,0.08133718,-0.749555,0.03183627,0.6119275,-0.1995351,-9.77632,4953,34620,0,0,22.7451,20,0,0,55.96226
12/27/2023 05:28:24.9119 μ.μ.,40.53315,23.03925,0,82,98,798,30,82.74509,0,9.774658,-3,-3.33E-16,2.22E-17,7.319506,66.22111,0,39.21569,0,0,0,54.92953,0.02691374,-1.38584,0.1838271,0.6493497,1.209635,-9.943672,4953,35350,0,0,22.7451,19.60784,0,0,56.26558
12/27/2023 05:28:25.7012 μ.μ.,40.53315,23.03925,0,82,98,800.5,30,82.74509,0,9.73805,-3,-3.33E-16,2.22E-17,7.319506,66.0143,0,39.60784,0,0,0,54.98576,-0.09793675,-1.724636,-0.5857605,0.7779323,2.955754,-9.019195,4953,34860,0,0,22.7451,19.60784,0,0,56.26558
12/27/2023 05:28:26.5019 μ.μ.,40.53315,23.03925,0,82,98,800.5,30,82.74509,0,9.768558,-3,-3.33E-16,2.22E-17,7.319506,66.0143,0,40,0,0,0,55.03696,-0.3729304,-1.194468,-0.08076494,1.541794,4.324956,-8.975934,4953,34860,0,0,22.7451,19.60784,0,0,56.26558
12/27/2023 05:28:27.3401 μ.μ.,40.53314,23.03926,0,82,98,800,30,83.13725,0,9.768558,-3,-3.33E-16,2.22E-17,7.414564,66.91342,0.3484442,40,0,0,0,55.09433,-0.7383021,-0.796937,-0.8772188,2.222878,4.716242,-7.835007,4953,35350,0,0,22.7451,20,0,0,56.19976
12/27/2023 05:28:28.1804 μ.μ.,40.53315,23.03926,0,82,98,801,30,83.13725,0,9.762456,-3,-3.33E-16,2.22E-17,7.117507,64.1524,0.5375264,40.39216,0,0,0,55.15549,0.1456705,-1.789679,-1.12462,1.793271,7.67005,-6.004613,4953,34860,0,0,22.7451,20,0,0,56.39009
12/27/2023 05:28:28.9025 μ.μ.,40.53315,23.03926,0,82,98,798.5,30,83.13725,0,9.774658,-3,-3.33E-16,2.22E-17,7.414564,67.03912,0.5375264,39.60784,0,0,0,55.20833,-0.06465719,-1.079957,-1.181356,2.109413,8.172555,-4.864434,4953,35350,0,0,22.7451,20.78431,0,0,56.39009
12/27/2023 05:28:29.7327 μ.μ.,40.53315,23.03926,0,82,98,798,30,80.39216,0,9.744151,-3,-3.33E-16,2.22E-17,7.3908,66.86612,0.2531786,53.33333,0,0,0,55.26918,-0.1678137,-0.5959145,-0.5740546,2.321971,8.327633,-4.816684,4953,37300,0,0,28.23529,24.70588,0,0,56.43317
12/27/2023 05:28:30.5622 μ.μ.,40.53315,23.03926,0,82,98,853,30,80.78432,0,9.73805,-3,-3.33E-16,2.22E-17,8.115621,68.68949,0.2243596,56.07843,0,0,0,55.32573,-0.09851021,-0.3427642,-0.003048141,2.232907,8.358468,-5.090764,4953,36820,0,0,28.62745,25.09804,0,0,56.42061
12/27/2023 05:28:31.3732 μ.μ.,40.53314,23.03925,0,82,98,860,30,81.17647,0,10.40922,-3,-3.33E-16,2.22E-17,8.175033,68.62915,1.18721,52.15686,0,0,0,55.39929,-0.8834917,0.3625146,-0.006697944,3.449127,7.672744,-4.987179,4953,36330,0,0,29.01961,25.09804,0,0,56.33683
12/27/2023 05:28:32.2067 μ.μ.,40.53314,23.03925,0,82,98,865,30,81.17647,0,10.49464,-3,-3.33E-16,2.22E-17,8.175033,68.23244,0,54.11765,0,0,0,55.45718,0.1066052,0.154984,0.9480687,2.806364,7.622,-6.301895,4961,37300,0,0,29.41176,27.84314,0,0,56.32817
